gauge_id,aridity_ERA5_LAND,aridity_FAO_PM,frac_snow,high_prec_dur,high_prec_freq,low_prec_dur,low_prec_freq,moisture_index_ERA5_LAND,moisture_index_FAO_PM,p_mean,pet_mean_ERA5_LAND,pet_mean_FAO_PM,seasonality_ERA5_LAND,seasonality_FAO_PM,region
camels_01365000,3.4898143,0.508556,0.30239105,1.1145375,0.05195072,3.055325,0.6047912,-0.6712671,0.512459,3.7995126,13.259593,1.9322649,0.3746442,0.9000163,camels
camels_01413500,3.6109085,0.525646,0.30135027,1.1033386,0.04750171,2.8218584,0.5778918,-0.6720977,0.5008328,3.4912853,12.606711,1.83518,0.41061342,0.91752934,camels
camels_01414500,3.4885976,0.5187839,0.30323958,1.0958467,0.04695414,2.8333333,0.57713896,-0.6579677,0.50460106,3.5691562,12.45135,1.8516208,0.43623748,0.9253439,camels
camels_01415000,3.7397053,0.54151756,0.30633914,1.0927153,0.04517454,2.7695622,0.5717317,-0.68108755,0.48031506,3.3553736,12.548109,1.8169938,0.41270268,0.9744827,camels
camels_01423000,3.9350574,0.5514608,0.30321136,1.1041322,0.04572211,2.7547917,0.5705681,-0.7010519,0.47314754,3.268916,12.863372,1.802679,0.37199062,0.9777315,camels
camels_01434025,3.3154066,0.49668327,0.30057195,1.1035007,0.049623545,2.928233,0.5920602,-0.64516526,0.52672726,3.8221245,12.671897,1.8983854,0.4298961,0.86963695,camels
camels_01435000,3.39233,0.50240093,0.30162376,1.112782,0.05065024,2.9662347,0.5952772,-0.65548253,0.51992023,3.7959788,12.877213,1.9071033,0.41206312,0.8856494,camels
camels_04256000,3.1474502,0.45198956,0.30152115,1.0807692,0.038466804,2.3972278,0.4853525,-0.57162106,0.5636018,3.8041513,11.973376,1.7194366,0.7696594,0.87321305,camels
camels_06037500,5.274816,0.7762319,0.5699941,1.150812,0.03394935,3.5232913,0.55393565,-0.5273175,0.30154303,2.3044538,12.155569,1.7887906,1.4211197,1.6673762,camels
camels_06043500,6.0298057,0.8070375,0.46458358,1.1226667,0.02881588,3.049474,0.5357974,-0.6884164,0.33100358,2.2575586,13.612639,1.8219343,0.8295985,1.531222,camels
camels_06188000,4.768318,0.74804646,0.64068115,1.1135135,0.028199863,3.1098547,0.52703625,-0.5138498,0.31467503,2.2309124,10.6377,1.6688261,1.4115757,1.6258664,camels
camels_06191500,5.117477,0.76240665,0.56182325,1.1171429,0.026762491,3.2148519,0.5274469,-0.5509189,0.30659905,2.2442217,11.484754,1.7110096,1.3203814,1.6435939,camels
camels_06221400,2.1828272,0.74520326,0.6548642,1.1857451,0.037577003,3.4723558,0.5932238,-0.1935267,0.38340792,1.9208343,4.1928496,1.4314121,1.4251404,1.4339892,camels
camels_06224000,4.0360403,0.7884694,0.520843,1.199074,0.035455167,3.254863,0.56119096,-0.6146075,0.3453866,2.1730726,8.770609,1.7134011,0.74942845,1.3639679,camels
camels_06278300,5.526884,0.7862524,0.48576695,1.1982758,0.038056128,2.927478,0.5498289,-0.74279076,0.3444758,2.4839725,13.728628,1.9530294,0.40247536,1.2837774,camels
camels_06280300,3.599502,0.72367716,0.6110726,1.1639785,0.029637234,3.2005708,0.53737164,-0.4169522,0.35330287,2.1925223,7.8919883,1.5866783,1.4751852,1.5477678,camels
camels_06289000,6.4214015,0.8865481,0.42038292,1.2188184,0.038124572,3.1476889,0.57330596,-0.77246606,0.28324398,2.2981637,14.757431,2.0374327,0.39575052,1.4763494,camels
camels_06311000,8.1693535,1.0839988,0.38508946,1.2262156,0.039698835,3.370356,0.59609854,-0.83455616,0.1792126,1.9297235,15.764594,2.0918179,0.23174399,1.381,camels
camels_06614800,7.620873,1.0292388,0.595971,1.1751662,0.036276523,3.4609873,0.59507185,-0.790056,0.1773805,1.8396516,14.019752,1.8934408,0.46018496,1.4816341,camels
camels_06622700,10.560387,1.248731,0.51037836,1.14,0.039014373,3.7631795,0.62539357,-0.84990615,0.09059135,1.7475564,18.454872,2.1822278,0.30824536,1.5761645,camels
camels_06623800,7.571005,0.9901389,0.53203934,1.1810344,0.037508555,3.6262627,0.58973306,-0.75905997,0.18715778,2.1143744,16.007938,2.0935242,0.6133093,1.5221914,camels
camels_06632400,8.572989,1.0551351,0.43287316,1.2059448,0.03887748,3.3738792,0.59233403,-0.85135704,0.16939521,2.0916085,17.931337,2.2069294,0.18827617,1.3365988,camels
camels_06746095,7.620873,1.0292388,0.595971,1.1751662,0.036276523,3.4609873,0.59507185,-0.790056,0.1773805,1.8396516,14.019752,1.8934408,0.46018496,1.4816341,camels
camels_07083000,4.331121,0.79490423,0.53802425,1.1742628,0.029979466,3.4137638,0.5500342,-0.6647503,0.30009818,2.187636,9.4749155,1.738961,0.72044754,1.4625584,camels
camels_09034900,3.9708886,0.8872587,0.5431624,1.2127193,0.037850786,3.4419446,0.5863792,-0.652208,0.243787,1.9233942,7.6375847,1.7065482,0.62832624,1.3565289,camels
camels_09035800,7.545017,0.94947535,0.57513124,1.1706264,0.03709788,3.47501,0.5948665,-0.8101475,0.21316725,1.8956735,14.302889,1.7998953,0.36645493,1.4390023,camels
camels_09035900,6.8461413,0.9125939,0.55920035,1.173516,0.03518138,3.4247572,0.5794661,-0.7954004,0.23024896,1.980512,13.558866,1.8074032,0.38397872,1.4314208,camels
camels_09047700,6.922861,0.89899707,0.51588196,1.2132702,0.03504449,3.362785,0.5652977,-0.8103974,0.24513297,2.041334,14.131872,1.8351533,0.32205096,1.4069524,camels
camels_09065500,6.6587706,0.8466419,0.49619305,1.1359223,0.032032855,3.3142624,0.55509925,-0.7801765,0.26115018,2.185608,14.553461,1.8504272,0.45430276,1.4659733,camels
camels_09066000,6.511834,0.83108836,0.49022752,1.1293533,0.031074606,3.293153,0.54976046,-0.77697,0.27158347,2.2313244,14.530014,1.8544278,0.45813295,1.4582397,camels
camels_09066200,6.194853,0.9460388,0.60433483,1.1484716,0.036002737,3.515139,0.5880219,-0.7515398,0.19965686,1.9532375,12.100019,1.8478385,0.5354702,1.489658,camels
camels_09066300,7.5132017,1.0149927,0.6175071,1.1447084,0.036276523,3.5651107,0.5958932,-0.7919959,0.1663372,1.874143,14.080814,1.9022416,0.4570153,1.5224526,camels
camels_09081600,5.0138764,0.82532495,0.5520596,1.1621622,0.038261466,3.762891,0.5843943,-0.67369413,0.24748911,2.2935243,11.499447,1.8929029,0.778037,1.556693,camels
camels_09107000,6.4604735,0.9322541,0.5616287,1.1878049,0.033333335,3.6385386,0.57255304,-0.77698964,0.1984949,2.0105627,12.989187,1.8743552,0.4755157,1.5068405,camels
camels_09210500,8.367272,1.46268,0.5318672,1.2184116,0.046201233,4.5404663,0.67967147,-0.7424433,0.04220705,1.3666413,11.4350605,1.998959,0.7293547,1.695387,camels
camels_09223000,10.958267,1.3722756,0.5751422,1.2208259,0.046543464,4.4775434,0.66872007,-0.799007,0.04589281,1.4912964,16.342024,2.0464694,0.6023262,1.7222999,camels
camels_09306242,3.9648592,1.6517825,0.38483375,1.251981,0.05407255,4.9270387,0.7071869,-0.39395988,-0.011215904,1.441449,5.7151423,2.3809602,1.4534571,1.6880205,camels
camels_09312600,8.6546755,1.3663266,0.42334953,1.2576985,0.053114306,4.810902,0.6826146,-0.78548414,0.048143897,1.6355736,14.155358,2.2347276,0.53050655,1.6483471,camels
camels_09352900,3.5717158,0.6836835,0.51587707,1.2309278,0.040862422,4.141125,0.5844627,-0.63941807,0.36594677,2.7140076,9.693664,1.8555223,0.6286645,1.4418918,camels
camels_09404450,10.206031,1.8691611,0.30871612,1.3839009,0.061190967,6.4953,0.7566735,-0.8332104,-0.1519068,1.4449542,14.747247,2.7008522,0.3960647,1.6684515,camels
camels_10023000,6.5144596,1.1917789,0.46010616,1.2269624,0.04921287,4.4202766,0.65653664,-0.637477,0.121864036,1.7535626,11.423512,2.089859,1.0487964,1.7067251,camels
camels_10173450,9.197015,1.4948907,0.43501487,1.3590552,0.05906913,5.872009,0.72224504,-0.8335692,-0.044114433,1.6543977,15.21552,2.4731438,0.32578427,1.6267296,camels
camels_10205030,11.534147,1.6767966,0.3832491,1.2204725,0.053045858,4.931401,0.69869953,-0.8679308,-0.08534829,1.4396878,16.605572,2.4140637,0.2620141,1.5578814,camels
camels_10234500,9.386801,1.5828362,0.43970862,1.2321168,0.05776865,5.3426213,0.70869267,-0.8219573,-0.04436953,1.5260869,14.325074,2.4155455,0.36080697,1.6291571,camels
camels_10242000,6.3149295,2.20202,0.30952477,1.3555878,0.06392881,7.1196527,0.78603697,-0.6885787,-0.21710458,1.2020787,7.5910425,2.6470013,0.7750209,1.6110893,camels
camels_10244950,5.132035,2.1041198,0.46049485,1.2971832,0.06303901,6.9380693,0.78213555,-0.50563586,-0.12164337,1.1135236,5.714642,2.342987,1.2560269,1.6638124,camels
camels_10249300,4.5328555,2.5981073,0.30040166,1.3394367,0.0650924,8.351257,0.8185489,-0.4331993,-0.2512506,0.8782519,3.980989,2.2817926,1.5871907,1.665184,camels
camels_10310500,5.606105,1.2854959,0.30422285,1.4596491,0.056947295,7.412657,0.7696783,-0.5324397,-0.05621693,1.7859391,10.012161,2.2958171,1.3495734,1.8608966,camels
camels_10316500,6.3496623,1.6171626,0.4819021,1.2893553,0.058863793,5.495298,0.7199179,-0.58823705,-0.011907942,1.3728213,8.716952,2.2200754,1.1718798,1.7706906,camels
camels_10329500,4.451308,2.2323437,0.30246753,1.3080425,0.059000686,6.4979615,0.763655,-0.37720352,-0.15787809,1.0840226,4.8253183,2.419911,1.720125,1.8228346,camels
camels_10336645,4.029921,0.75966996,0.61425096,1.5074135,0.062628336,6.71673,0.725462,-0.47106805,0.10218023,3.1239555,12.589294,2.3731751,1.3734335,1.8649979,camels
camels_10336660,4.55519,0.8265396,0.46945435,1.5268457,0.062286105,6.731552,0.7242984,-0.5164328,0.072589606,3.0583203,13.931231,2.5278227,1.2880001,1.8659341,camels
camels_10336740,6.113927,1.2589695,0.4678516,1.4746059,0.05763176,7.2040157,0.76132786,-0.5913901,-0.051171705,1.9620438,11.995792,2.4701533,1.1936281,1.8636023,camels
camels_10343500,7.280721,0.9202511,0.4662704,1.4832215,0.060506504,6.6819324,0.7290212,-0.66910386,0.040311623,2.7080028,19.716213,2.4920425,0.99468166,1.843739,camels
camels_10348850,9.746167,1.5424113,0.6012107,1.4275862,0.056673512,7.412574,0.7747433,-0.7368589,-0.11319187,1.6198385,15.787216,2.4984572,0.8072485,1.8276317,camels
camels_10396000,4.460852,1.9728476,0.30858415,1.1944013,0.052566737,5.7286487,0.7253936,-0.40745,-0.13000076,1.2120082,5.4065895,2.3911076,1.6106763,1.81949,camels
camels_11230500,2.9145906,0.7537518,0.7213968,1.4509091,0.054620124,6.0344234,0.7199179,-0.36538193,0.15072942,2.44431,7.1241627,1.8424032,1.4502969,1.6456729,camels
camels_11237500,5.4944944,0.8296743,0.60282403,1.4939966,0.0596167,6.769231,0.73483914,-0.646523,0.071069285,3.0145612,16.56349,2.501104,0.9381438,1.7309035,camels
camels_11264500,2.7798522,0.60726136,0.79382414,1.4770797,0.059548255,6.4626594,0.7285421,-0.34154445,0.18414834,3.1129186,8.653453,1.8903552,1.5436516,1.7669221,camels
camels_11266500,3.7059839,0.65056646,0.71412295,1.4848485,0.06036961,6.545343,0.73114306,-0.46109623,0.15611082,3.1314003,11.604919,2.0371842,1.3790238,1.7738323,camels
camels_11523200,6.1561913,0.76981235,0.47343215,1.4754359,0.063723475,6.37531,0.7034223,-0.5545224,0.09533708,3.1910245,19.644558,2.45649,1.408371,1.8680342,camels
camels_12048000,1.9987794,0.36794528,0.43335968,1.2487179,0.033333335,3.4126506,0.46529773,-0.2227412,0.493891,4.8768544,9.747756,1.7944155,1.6187079,1.4011304,camels
camels_12054000,1.8806669,0.32596195,0.37831625,1.4008621,0.044490077,3.2836418,0.4492813,-0.17888631,0.45589313,5.5100117,10.362496,1.7960541,1.7479949,1.5498053,camels
camels_12082500,1.5512384,0.2797241,0.6289233,1.3609023,0.037166324,3.843683,0.49144423,-0.1010007,0.49982032,5.8667374,9.100708,1.6410677,1.7617043,1.6258131,camels
camels_12092000,1.5457639,0.28712717,0.62261575,1.3316326,0.035728954,3.8509846,0.4952772,-0.10661995,0.49922192,5.719476,8.84096,1.6422169,1.7301954,1.618912,camels
camels_12114500,1.7122345,0.32114014,0.3760806,1.2953368,0.034223136,3.6713762,0.48021904,-0.13869986,0.46321252,5.137818,8.79715,1.6499596,1.7213699,1.6368924,camels
camels_12115000,1.698075,0.30965838,0.3726874,1.2947369,0.033675566,3.6437926,0.47611225,-0.14524518,0.47810212,5.380142,9.135885,1.6660062,1.6938858,1.611946,camels
camels_12115500,1.8239907,0.31406796,0.3692405,1.2849462,0.032717317,3.616104,0.4764545,-0.19301392,0.4763069,5.3921723,9.835273,1.6935085,1.6271412,1.6015457,camels
camels_12141300,1.5961932,0.28175837,0.3675451,1.2930107,0.032922655,3.6037934,0.4681725,-0.120897114,0.5137696,5.8861923,9.3955,1.6584839,1.7030865,1.5576997,camels
camels_12143600,1.6420625,0.30027452,0.37038553,1.2875648,0.034017798,3.634979,0.47371665,-0.13637228,0.489632,5.5797925,9.162368,1.6754695,1.6826382,1.5947821,camels
camels_12144000,1.7183965,0.3051475,0.368527,1.2760416,0.033538673,3.629707,0.4750171,-0.16139846,0.48567113,5.5308495,9.504192,1.6877248,1.6567549,1.5946132,camels
camels_12147600,1.4495857,0.2514265,0.35799733,1.2916666,0.031827517,3.601266,0.46735114,-0.08779473,0.55528027,6.577976,9.535339,1.6538775,1.6820843,1.4638698,camels
camels_12167000,1.2835848,0.2191879,0.36260584,1.3063291,0.035318274,3.670954,0.46885696,-0.023167854,0.57567805,7.1791267,9.215018,1.5735776,1.7765577,1.4311943,camels
camels_12175500,1.8343383,0.30198637,0.64186686,1.3040686,0.04168378,3.5645242,0.4896646,-0.15640466,0.4748555,4.7723937,8.754184,1.4411978,1.8268238,1.5618644,camels
camels_12178100,1.6846964,0.27196944,0.6399953,1.2942477,0.040041067,3.5552711,0.47549623,-0.12730035,0.5074387,5.3494024,9.012119,1.454874,1.8318852,1.5279928,camels
camels_12186000,1.2346622,0.22630104,0.62958986,1.339196,0.03648186,3.5390708,0.45879534,-0.020472331,0.5642928,6.5969863,8.145049,1.4929049,1.7842865,1.4690281,camels
camels_12189500,1.2945157,0.22611439,0.6310383,1.3137255,0.0366872,3.5110295,0.4575633,-0.03519197,0.56479084,6.530206,8.453454,1.4765736,1.8025107,1.4514178,camels
camels_12358500,4.670692,0.6430287,0.47294453,1.2045455,0.029021218,3.284894,0.50903493,-0.4703348,0.37008458,2.6694868,12.46835,1.7165564,1.508112,1.6628562,camels
camels_12374250,6.3365407,0.9761835,0.465911,1.1986607,0.036755648,3.7098005,0.5984942,-0.5707897,0.19999847,1.990575,12.613359,1.9431664,1.339103,1.7423617,camels
camels_12375900,4.293236,0.70631075,0.47693712,1.1650944,0.033812456,3.4763353,0.54798084,-0.42272705,0.325845,2.5551834,10.970005,1.8047535,1.5772523,1.7281939,camels
camels_12377150,4.7837377,0.7098486,0.4642121,1.1576355,0.032169748,3.390244,0.5422998,-0.47939605,0.32908973,2.5801272,12.342651,1.8314997,1.4963843,1.6937188,camels
camels_12381400,6.3828464,0.9041525,0.4482886,1.1793103,0.035112936,3.4750624,0.5722793,-0.6002787,0.2424636,2.1178844,13.51813,1.9148905,1.27532,1.7275013,camels
camels_12383500,6.5514846,0.9168049,0.43911847,1.1741072,0.036002737,3.5152147,0.5772074,-0.6170941,0.23849098,2.1174593,13.872501,1.941297,1.218409,1.7193761,camels
camels_12388400,7.2599325,1.1602739,0.45782125,1.2306201,0.043463383,3.9114892,0.62915814,-0.6652102,0.12811814,1.7193655,12.482478,1.9949349,1.0231326,1.7698883,camels
camels_12390700,5.186897,0.68982774,0.56587464,1.210643,0.03737166,3.8275702,0.5606434,-0.46737364,0.2713169,2.7441993,14.233877,1.8930247,1.5708357,1.7633562,camels
camels_12411000,4.308331,0.5789084,0.5857178,1.2163866,0.03963039,4.0063634,0.5602327,-0.38650054,0.31328335,3.3154874,14.284217,1.9193635,1.6670853,1.7474908,camels
camels_12414500,3.970632,0.5732719,0.5633387,1.2009456,0.034770705,3.7332382,0.53737164,-0.375039,0.3397318,3.2534025,12.918064,1.8650842,1.657269,1.7275112,camels
camels_12447390,4.63098,0.60453886,0.5971884,1.1842105,0.033880904,3.3839967,0.547091,-0.43435845,0.34452716,2.6105359,12.08934,1.5781704,1.6935837,1.5297267,camels
camels_12451000,1.9377139,0.3112968,0.64805037,1.3398693,0.042094454,3.6008947,0.4958932,-0.1696235,0.45608792,4.70203,9.111189,1.4637269,1.8309222,1.5839828,camels
camels_12488500,2.723513,0.45776638,0.6520328,1.3617978,0.04147844,3.9550052,0.53545517,-0.27200168,0.33000982,3.769896,10.26736,1.7257317,1.7673352,1.7718006,camels
camels_13011500,5.451509,0.6993546,0.6244772,1.1551312,0.033127993,3.5663676,0.5443532,-0.5390764,0.29611278,2.5369582,13.830251,1.7742335,1.4262998,1.7206984,camels
camels_13011900,4.749138,0.6852336,0.67898464,1.1730769,0.029226556,3.3133304,0.5290897,-0.5052874,0.32076314,2.4751143,11.754659,1.6960315,1.4442949,1.6398758,camels
camels_13018300,5.644786,0.7541543,0.60248387,1.1717391,0.03689254,3.6137962,0.5629706,-0.56492174,0.28205794,2.418948,13.654444,1.8242601,1.3637623,1.6675636,camels
camels_13023000,6.9426966,0.87715286,0.5943573,1.1810155,0.036618754,3.6435084,0.57433265,-0.66235703,0.21975921,2.1828604,15.154937,1.9147023,1.1062276,1.6623328,camels
camels_13083000,4.652885,1.5615355,0.48284963,1.1826923,0.050513346,4.922027,0.6913073,-0.4275755,-0.020037403,1.4138693,6.578571,2.207807,1.55351,1.7762666,camels
camels_13161500,4.356304,1.5312335,0.47223675,1.2572815,0.05318275,5.034534,0.6984942,-0.39983454,0.013447078,1.385898,6.0373936,2.1221335,1.520189,1.7935253,camels
camels_13235000,5.5925174,0.72221214,0.6908087,1.2962298,0.049418207,4.358151,0.6130048,-0.52756804,0.23654895,2.5309596,14.154436,1.8278898,1.5226843,1.7995976,camels
camels_13240000,5.4463234,0.72592765,0.5782362,1.2439479,0.04572211,4.202312,0.59712523,-0.51387817,0.24882941,2.63772,14.365877,1.914794,1.5144353,1.7772608,camels
camels_13310700,5.609457,0.7090382,0.5880967,1.2649254,0.04640657,4.153809,0.5933607,-0.52303797,0.25008944,2.7221315,15.26968,1.9300952,1.5164051,1.7795908,camels
camels_13313000,5.877907,0.73024946,0.6616078,1.2450199,0.04277892,3.9368954,0.5850103,-0.5548892,0.25267237,2.6189404,15.393888,1.9124798,1.4595108,1.7518636,camels
camels_13331500,5.6760626,0.7830289,0.5621582,1.1683168,0.040383298,4.1222916,0.586037,-0.5601657,0.22449556,2.51395,14.269338,1.9684956,1.3454413,1.7681553,camels
camels_13337000,3.820485,0.56093293,0.54365486,1.1748072,0.031279944,3.5217996,0.5197125,-0.37545538,0.36380243,3.2299178,12.339853,1.8117673,1.6428713,1.7136834,camels
camels_13338500,4.082332,0.6695784,0.37556833,1.1403941,0.031690624,3.5452907,0.5384668,-0.4653464,0.33235496,2.8517358,11.641733,1.9094607,1.427246,1.6580065,camels
camels_13340000,4.2190437,0.64197403,0.5201929,1.1536388,0.029295003,3.590635,0.5301164,-0.43398985,0.3253814,2.8944976,12.212011,1.8581923,1.5462934,1.7112654,camels
camels_13340600,3.303055,0.5273183,0.5784852,1.2243437,0.035112936,3.7292366,0.5316906,-0.29751614,0.3573472,3.4092977,11.261098,1.797785,1.7412815,1.7578795,camels
camels_14020000,3.8156497,0.8125854,0.3574115,1.1690648,0.044490077,4.441044,0.6058179,-0.38218164,0.17862266,2.586052,9.867469,2.101388,1.5564845,1.8486305,camels
camels_14092750,5.1814837,0.6971864,0.4280561,1.3402923,0.043942504,4.607238,0.59253937,-0.4955042,0.17053324,3.002202,15.5558605,2.0930943,1.503519,1.8588257,camels
camels_14096850,4.2228127,0.9578562,0.31623575,1.3160714,0.0504449,5.2387238,0.6518823,-0.39090052,0.05647052,2.1761136,9.189321,2.0844038,1.6772761,1.9002919,camels
camels_14137000,2.5423627,0.39509466,0.40181127,1.2995284,0.037713893,4.1748905,0.52121836,-0.2638599,0.36124682,4.8004785,12.204557,1.8966434,1.7011192,1.7852272,camels
camels_14138800,2.2615209,0.35346508,0.39867467,1.2836539,0.03655031,4.116712,0.5142368,-0.22502455,0.39925808,5.291355,11.966511,1.8703094,1.7210488,1.7575517,camels
camels_14158500,3.1403427,0.4624288,0.41161314,1.3590308,0.042231347,4.424876,0.550308,-0.31967255,0.3011496,4.3315086,13.602422,2.0030143,1.7059567,1.8254254,camels
camels_14158790,2.8767443,0.43513754,0.40749323,1.3572985,0.042642027,4.474066,0.54907596,-0.29292923,0.31890112,4.5903163,13.205166,1.9974189,1.716528,1.819075,camels
camels_14216500,1.4317249,0.28027213,0.3925579,1.3450705,0.03921971,4.0195017,0.5078713,-0.041623738,0.4742289,5.9921937,8.579173,1.6794449,1.819263,1.7094978,camels
camelscl_10503001,1.7632259,0.32997409,0.3963548,1.2774049,0.03908282,3.3236535,0.48569474,-0.17697993,0.5092937,5.357812,9.447033,1.7679391,1.6860784,1.3197294,camelscl
camelscl_10520001,1.4477224,0.28290805,0.38915163,1.2834467,0.03874059,3.315228,0.4678987,-0.088998035,0.57438624,6.067542,8.784117,1.7165564,1.6923149,1.1911484,camelscl
camelscl_10523002,1.42971,0.28047922,0.38865766,1.2801822,0.038466804,3.3090732,0.46680355,-0.083847776,0.57833874,6.1225758,8.753508,1.7172554,1.6910646,1.1812731,camelscl
camelscl_10701002,0.8436011,0.18848832,0.3596605,1.1680441,0.029021218,2.9453907,0.4023956,0.1566447,0.7374894,8.060743,6.800052,1.5193559,1.5991994,0.7094404,camelscl
camelscl_10702002,2.2098556,0.37688082,0.3815193,1.2410902,0.04052019,3.4725537,0.49794662,-0.23976034,0.4682685,4.6556582,10.288333,1.7546283,1.6787277,1.3616889,camelscl
camelscl_10704002,1.9482828,0.34007478,0.37711662,1.2455752,0.03853525,3.3862975,0.47700205,-0.19511293,0.51459247,5.058329,9.855056,1.7202101,1.6818744,1.2786399,camelscl
camelscl_11020004,1.684118,0.326867,0.36659095,1.2656903,0.04140999,3.2344606,0.48439425,-0.15314862,0.5469099,4.6007466,7.7482004,1.5038323,1.6641353,1.208492,camelscl
camelscl_11040001,1.5066531,0.25242582,0.34600636,1.1745152,0.029021218,2.9016063,0.39561945,-0.101439096,0.66620255,5.9271607,8.930175,1.4961684,1.6329195,0.8747947,camelscl
camelscl_11130001,0.36231294,0.1072736,0.31266758,1.1166667,0.0137577,2.5303712,0.30793977,0.57324207,0.8717054,10.591709,3.8375134,1.1362108,1.1285695,0.34787884,camelscl
camelscl_11141001,5.216681,0.68661857,0.3497962,1.1981132,0.043463383,3.673573,0.5946612,-0.5914511,0.25669068,2.5045066,13.065211,1.7196406,1.2341894,1.5494145,camelscl
camelscl_11143001,3.3349445,0.46282047,0.3499982,1.2,0.04024641,3.3368561,0.5186858,-0.42672077,0.4242127,3.4407845,11.474825,1.5924654,1.4726661,1.3554779,camelscl
camelscl_11143002,2.0946965,0.34365362,0.34110284,1.212528,0.03709788,3.103778,0.46673512,-0.25187045,0.5599257,4.1985154,8.794616,1.4428351,1.5772613,1.127671,camelscl
camelscl_11147001,1.3144163,0.21934727,0.32776746,1.1929824,0.023271732,2.702028,0.35564682,-0.043498155,0.7276984,6.3234034,8.3115835,1.3870212,1.5791007,0.69857323,camelscl
camelscl_11147002,0.54277307,0.13304238,0.32252577,1.1585366,0.019507186,2.6321776,0.33258042,0.3904814,0.83561444,8.730231,4.7385345,1.1614908,1.4124634,0.45813122,camelscl
camelscl_11302001,3.5089262,0.47639364,0.32878304,1.2156448,0.039356604,3.2512798,0.52162904,-0.46560097,0.43738884,3.301818,11.585835,1.5729651,1.3878034,1.3079792,camelscl
camelscl_11307001,1.6089051,0.28149745,0.31233838,1.1875,0.03251198,2.9076493,0.42669404,-0.12912183,0.66748655,4.9701877,7.99656,1.3990952,1.5903306,0.8330811,camelscl
camelscl_11308001,1.8511572,0.2902483,0.3211,1.1927084,0.031348392,2.9142582,0.41409993,-0.20091648,0.6484039,4.91802,9.104028,1.427447,1.5585977,0.88247204,camelscl
camelscl_11310001,5.654048,0.7311645,0.32769972,1.2077206,0.044969197,3.602857,0.6041752,-0.6106322,0.24739388,2.321952,13.128428,1.697729,1.2061685,1.56219,camelscl
camelscl_11310002,3.3707886,0.57164866,0.4005521,1.1984733,0.04298426,3.393015,0.5785079,-0.39950293,0.36199364,2.6993983,9.099101,1.5431075,1.5096804,1.4592505,camelscl
